time,pelvis_tx,pelvis_ty,pelvis_tilt,q_hip_r,q_knee_r,q_ankle_r,q_hip_l,q_knee_l,q_ankle_l
1.22,1.464,0.047027762443139866,-0.003889111135316308,0.04110091579136422,-0.22571110483085202,0.11905016350688898,0.3060077032793776,-1.0428355620413348,-0.08567714643766651
1.23,1.476,0.04797751217932735,-0.0051598985739407755,0.025873243935446367,-0.21507188084736462,0.11837746091211444,0.3186778879284351,-1.008992709228298,-0.06180677393324222
1.24,1.488,0.04875224603996145,-0.006674440454269277,0.011110922970363592,-0.20461232631751453,0.11762377400543181,0.33050575152136724,-0.9702397840744627,-0.045105768596738996
1.25,1.5,0.049321760751602585,-0.008525120659280848,-0.002827330503226782,-0.19482800000561193,0.11704155486498186,0.34150815181283106,-0.9273348758060596,-0.028622183971424353
1.26,1.512,0.049678472570764666,-0.010784543904556772,-0.015756950630881384,-0.18591216937639174,0.11676363125862664,0.3519727091121818,-0.8806582489171043,-0.018213398910870624
1.27,1.524,0.04981955951371453,-0.01344688411847886,-0.02769066616652932,-0.17791299428415708,0.1169294535812321,0.36157557789295525,-0.8302862962387219,-0.007701369227066837
1.28,1.536,0.04975989844141621,-0.01650721234583998,-0.03862821293270321,-0.17087736033662485,0.11755243875587063,0.3698161140443501,-0.7749794272454064,-0.00019598775475689309
1.29,1.548,0.049509175926370795,-0.01994394327932097,-0.048595900134839116,-0.164845838875243,0.11864684838231924,0.37624587914628144,-0.7141758035883695,0.005244625483469419
1.3,1.56,0.04907125159909396,-0.023731354856089577,-0.05760978211179698,-0.15988045992128894,0.12025434062471065,0.3809025043645898,-0.6484800308033168,0.007297221199161717
1.31,1.572,0.04844932747188773,-0.027728976221022085,-0.0659434893839598,-0.1558464999755515,0.12236606960679097,0.3836527741110774,-0.5784710360680567,0.005003788814967537
1.3199999999999998,1.5839999999999999,0.047654074460661,-0.03182064434012011,-0.07376170662921792,-0.15275857485014116,0.12498003647850028,0.38408345388675585,-0.5036894541858044,-0.0020636475616129506
